STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT11,WT11_ATTRIBUTES
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/26/2017,0.02,",,7,2400",0.1,",,7",0,",,7",35,",,7",32,",,7",32,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/27/2017,0,"T,,7,2400",0,"T,,7",0,",,7",32,",,7",25,",,7",27,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/28/2017,0,"T,,7,2400",0,"T,,7",0,",,7",30,",,7",26,",,7",28,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/29/2017,0,"T,,7,2400",0.1,",,7",0,"T,,7",29,",,7",23,",,7",23,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/30/2017,0,"T,,7,2400",0,"T,,7",0,",,7",39,",,7",17,",,7",39,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,1/31/2017,0.02,",,7,2400",0,",,7",0,",,7",43,",,7",36,",,7",36,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/1/2017,0,"T,,7,2400",0,"T,,7",0,",,7",39,",,7",23,",,7",23,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/2/2017,0,",,7,2400",0,",,7",0,",,7",25,",,7",15,",,7",18,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/3/2017,0,",,7,2400",0,",,7",0,",,7",29,",,7",15,",,7",19,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/4/2017,0,",,7,2400",0,",,7",0,",,7",34,",,7",16,",,7",33,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/5/2017,0,",,7,2400",0,",,7",0,",,7",41,",,7",29,",,7",30,",,7,2400",,,,,,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/6/2017,0,"T,,7,2400",0,",,7",0,",,7",55,",,7",27,",,7",44,",,7,2400",,,1,",,7",,,,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/7/2017,0.55,",,7,2400",0,",,7",0,",,7",53,",,7",34,",,7",34,",,7,2400",,,1,",,7",1,",,7",,,,,,,,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",41.7372,-87.7775,189,2/8/2017,0,"T,,7,2400",0.1,",,7",0,"T,,7",34,",,7",20,",,7",20,",,7,2400",,,,,,,,,,,,,,
